Name,Rank,Tier,Pos,Team
"Christian McCaffrey",1,1,RB,SF
"Puka Nacua",2,1,WR,LAR
"Josh Allen",3,1,QB,BUF
"Bijan Robinson",4,1,RB,ATL
"Jahmyr Gibbs",5,1,RB,DET
"Jonathan Taylor",6,1,RB,IND
"Drake Maye",7,1,QB,NE
"Jaxon Smith-Njigba",8,1,WR,SEA
"Matthew Stafford",9,1,QB,LAR
"Trevor Lawrence",10,1,QB,JAX
"Caleb Williams",11,1,QB,CHI
"Amon-Ra St. Brown",12,1,WR,DET
"Dak Prescott",13,2,QB,DAL
"De'Von Achane",14,2,RB,MIA
"Trey McBride",15,2,TE,ARI
"Bo Nix",16,2,QB,DEN
"Ja'Marr Chase",17,2,WR,CIN
"Jared Goff",18,2,QB,DET
"Jalen Hurts",19,2,QB,PHI
"James Cook",20,2,RB,BUF
"Justin Herbert",21,2,QB,LAC
"Patrick Mahomes",22,2,QB,KC
"George Pickens",23,2,WR,DAL
"Baker Mayfield",24,2,QB,TB
"Chase Brown",25,3,RB,CIN
"Derrick Henry",26,3,RB,BAL
"Chris Olave",27,3,WR,NO
"Kyren Williams",28,3,RB,LAR
"Travis Etienne",29,3,RB,NO
"Sam Darnold",30,3,QB,SEA
"Jaxson Dart",31,3,QB,NYG
"Ashton Jeanty",32,3,RB,LV
"Zay Flowers",33,3,WR,BAL
"Javonte Williams",34,3,RB,DAL
"Jordan Love",35,3,QB,GB
"Josh Jacobs",36,3,RB,GB
"Jacoby Brissett",37,4,QB,ARI
"Daniel Jones",38,4,QB,IND
"Aaron Rodgers",39,4,QB,PIT
"Saquon Barkley",40,4,RB,PHI
"Bryce Young",41,4,QB,CAR
"D'Andre Swift",42,4,RB,CHI
"Nico Collins",43,4,WR,HOU
"Davante Adams",44,4,WR,LAR
"Kenny Gainwell",45,4,RB,TB
"Lamar Jackson",46,4,QB,BAL
"Michael Wilson",47,4,WR,ARI
"A.J. Brown",48,4,WR,NE
"Jameson Williams",49,5,WR,DET
"Courtland Sutton",50,5,WR,DEN
"Wan'Dale Robinson",51,5,WR,TEN
"Jaylen Warren",52,5,RB,PIT
"C.J. Stroud",53,5,QB,HOU
"Rico Dowdle",54,5,RB,PIT
"Tee Higgins",55,5,WR,CIN
"Tetairoa McMillan",56,5,WR,CAR
"Kyle Pitts",57,5,TE,ATL
"Stefon Diggs",58,5,WR,WAS
"Breece Hall",59,5,RB,NYJ
"RJ Harvey",60,5,RB,DEN
"TreVeyon Henderson",61,6,RB,NE
"Michael Pittman",62,6,WR,PIT
"Drake London",63,6,WR,ATL
"DeVonta Smith",64,6,WR,PHI
"Justin Jefferson",65,6,WR,MIN
"CeeDee Lamb",66,6,WR,DAL
"Emeka Egbuka",67,6,WR,TB
"Jaylen Waddle",68,6,WR,DEN
"Cam Ward",69,6,QB,TEN
"Travis Kelce",70,6,TE,KC
"Kenneth Walker",71,6,RB,KC
"Geno Smith",72,6,QB,NYJ
"Tyler Warren",73,7,TE,IND
"Deebo Samuel",74,7,WR,SF
"Jake Ferguson",75,7,TE,DAL
"Brock Purdy",76,7,QB,SF
"DK Metcalf",77,7,WR,PIT
"Harold Fannin",78,7,TE,CLE
"Tony Pollard",79,7,RB,TEN
"Dallas Goedert",80,7,TE,PHI
"Parker Washington",81,7,WR,JAX
"Alec Pierce",82,7,WR,IND
"Zach Charbonnet",83,7,RB,SEA
"Ladd McConkey",84,7,WR,LAC
"Juwan Johnson",85,8,TE,NO
"Rhamondre Stevenson",86,8,RB,NE
"Hunter Henry",87,8,TE,NE
"Dalton Schultz",88,8,TE,HOU
"Troy Franklin",89,8,WR,DEN
"Brock Bowers",90,8,TE,LV
